household_id,Encryption Ratio_mean,Encryption Ratio_std,Reidentification Rate_mean,Reidentification Rate_std,Memory Consumption (MiB)_mean,Memory Consumption (MiB)_std,Summation Error_mean,Summation Error_std,Deviation Error_mean,Deviation Error_std,Encryption Time (NS)_mean,Encryption Time (NS)_std
MAC000248.csv,0.8,0.0,0.0,0.0,128.0,0.0,-2504.680308,0.0,-0.369251,0.0,3114600.0,0.0
MAC000252.csv,0.8,0.0,0.0,0.0,128.0,0.0,-4353.539692,0.0,-1.033622,0.0,674600.0,0.0
MAC000253.csv,0.8,0.0,0.0,0.0,128.0,0.0,-2701.762231,0.0,-0.130471,0.0,0.0,0.0
MAC000255.csv,0.8,0.0,0.0,0.0,128.0,0.0,-4102.129154,0.0,-0.245178,0.0,6291900.0,0.0
MAC000256.csv,0.8,0.0,0.0,0.0,128.0,0.0,-5606.640615,0.0,-0.281941,0.0,0.0,0.0
MAC000258.csv,0.3,0.0,0.5059924306139613,0.0,146.0,0.0,1418.7247689999997,0.0,-0.178578,0.0,983600.0,0.0
MAC000271.csv,0.3,0.0,0.5059924306139613,0.0,146.0,0.0,1807.45,0.0,-0.130669,0.0,0.0,0.0
MAC000272.csv,0.8,0.0,0.0,0.0,128.0,0.0,-1733.900385,0.0,-0.150366,0.0,2734800.0,0.0
MAC000274.csv,0.8,0.0,0.0,0.0,128.0,0.0,-5944.217923,0.0,-0.704182,0.0,3238300.0,0.0
MAC004539.csv,0.3,0.0,0.5059924306139613,0.0,146.0,0.0,723.5118459999999,0.0,-0.035315,0.0,1001900.0,0.0
